id,=BredPreg,"=if(BredAbort,1,0)",=evsireNAAB,=@date(LACT),=evnumt,=evnum,=evdate,EvGap,Tech,=@date(Pen),"=if(bredsexed,1,0)",BredReas,=@date(dim),=now(apiId),=evloc,=now(owner),=now(BRD),=@date(age),=now(Other2ID),=now(Other5ID),ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,=now(Age1BLT),=now(Total),=now(ApiId),EvId,EvTypeShort,=details/units,=details/sire,=details/sexed,=details/bredreason,isChore,InvldBrd,BredPreg,BredAbort,EvSireNAAB,LACT,EvNumT,EvNum,EvDate,Pen,BREDsexed,Proto,DIM,ApiId,EvLoc,Owner,BRD,AGE,Other2ID,Other5ID,BredOpen,BredRes,Age1BLT,Total,details/units,details/sire,details/sexed,details/bredreason,EvType
734450155,false,0,151AN1692,2,1,1,2022-03-24,,Rigo Trejo,9,1,Double Ovsynch 2PgF,82,3426334,Red Rock Dairy,Red Rock Dairy,Holstein,1275,,,0,false,AN,151,2022-03-20,396,total,3426334,734450155,bred,1,606098,1,Double Ovsynch 2PgF,false,0,false,false,151AN1692,0,1,1,2022-03-24,0,1,Double Ovsynch 2PgF,,734450155,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Double Ovsynch 2PgF,Bred
737698283,true,0,551HO4425,1,1,1,2022-03-31,,Martin Medrano,1,1,Double Ovsynch 2PgF,81,6052554,Red Rock Dairy,Red Rock Dairy,Holstein,745,234,,100,false,HO,551,2022-03-27,385,total,6052554,737698283,bred,1,446595,1,Double Ovsynch 2PgF,false,0,true,false,551HO4425,0,1,1,2022-03-31,0,1,Double Ovsynch 2PgF,,737698283,Red Rock Dairy,,,,,,false,Preg,,total,1,446595,1,Double Ovsynch 2PgF,Bred
733512183,false,0,551HO4425,1,1,1,2022-03-24,,Martin Medrano,1,1,Double Ovsynch 2PgF,80,6110240,Red Rock Dairy,Red Rock Dairy,Holstein,761,234,,0,false,HO,551,2022-03-20,387,total,6110240,733512183,bred,1,446595,1,Double Ovsynch 2PgF,false,0,false,false,551HO4425,0,1,1,2022-03-24,0,1,Double Ovsynch 2PgF,,733512183,Red Rock Dairy,,,,,,true,Open,,total,1,446595,1,Double Ovsynch 2PgF,Bred
789848563,false,0,151AN1692,1,5,5,2022-04-07,14,Martin Medrano,8,0,,200,5691469,Red Rock Dairy,Red Rock Dairy,Holstein,882,,,0,false,AN,151,2022-04-03,409,total,5691469,789848563,bred,1,606098,0,,false,0,false,false,151AN1692,0,5,5,2022-04-07,0,0,,,789848563,Red Rock Dairy,,,,,,true,Open,,total,1,606098,0,,Bred
732762610,false,0,151AN1692,2,1,1,2022-03-24,,Rigo Trejo,9,1,Double Ovsynch 2PgF,84,4052345,Red Rock Dairy,Red Rock Dairy,Holstein,1174,,,0,false,AN,151,2022-03-20,387,total,4052345,732762610,bred,1,606098,1,Double Ovsynch 2PgF,false,0,false,false,151AN1692,0,1,1,2022-03-24,0,1,Double Ovsynch 2PgF,,732762610,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Double Ovsynch 2PgF,Bred
778121727,true,0,551AN1609,2,2,2,2022-04-28,35,Rigo Trejo,9,1,Lut to Breed,119,4613434,Red Rock Dairy,Red Rock Dairy,Holstein,1121,,,100,false,AN,551,2022-04-24,383,total,4613434,778121727,bred,1,606097,1,Lut to Breed,false,0,true,false,551AN1609,0,2,2,2022-04-28,0,1,Lut to Breed,,778121727,Red Rock Dairy,,,,,,false,Preg,,total,1,606097,1,Lut to Breed,Bred
786235899,false,0,551HO4429,0,2,2,2022-05-08,21,Noe Gonzalez,14,0,Chalk,,8755305,Red Rock Dairy,Red Rock Dairy,Holstein,405,,,0,false,HO,551,2022-05-08,384,total,8755305,786235899,bred,1,446446,0,Chalk,false,0,false,false,551HO4429,0,2,2,2022-05-08,0,0,,,786235899,Red Rock Dairy,,,,,,true,Open,,total,1,446446,0,Chalk,Bred
754061816,false,0,151AN1692,2,1,1,2022-04-28,,Noe Gonzalez,9,1,Double Ovsynch 2PgF,82,4751223,Red Rock Dairy,Red Rock Dairy,Holstein,1095,234,,0,false,AN,151,2022-04-24,386,total,4751223,754061816,bred,1,606098,1,Double Ovsynch 2PgF,false,0,false,false,151AN1692,0,1,1,2022-04-28,0,1,Double Ovsynch 2PgF,,754061816,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Double Ovsynch 2PgF,Bred
741057016,false,0,151AN1692,3,1,1,2022-03-31,,Noe Gonzalez,10,1,Double Ovsynch 2PgF,79,3156060,Red Rock Dairy,Red Rock Dairy,Holstein,1523,,,0,false,AN,151,2022-03-27,352,total,3156060,741057016,bred,1,606098,1,Double Ovsynch 2PgF,false,0,false,false,151AN1692,0,1,1,2022-03-31,0,1,Double Ovsynch 2PgF,,741057016,Red Rock Dairy,,,,,,true,Open,,total,1,606098,1,Double Ovsynch 2PgF,Bred
746172868,false,0,551JE01772,2,1,1,2022-04-14,,Rigo Trejo,7,1,Double Ovsynch 2PgF,83,4596524,Red Rock Dairy,Red Rock Dairy,Holstein,1117,,,0,false,JE,551,2022-04-10,711,total,4596524,746172868,bred,1,278387,1,Double Ovsynch 2PgF,false,0,false,false,551JE01772,0,1,1,2022-04-14,0,1,Double Ovsynch 2PgF,,746172868,Red Rock Dairy,,,,,,true,Open,,total,1,278387,1,Double Ovsynch 2PgF,Bred
