# Preg,AbortRes,SireBull,LACT,Ev#L,#Ev,Date,EvGap,Tech,Pen,bred.sexed,BredReas,DIM@E,AnId,FarmLoc,AnOwner,BRD,Age(da),Other2ID,Other5ID,ConceptRate,BredUnk,EvSireBreed,EvSireStudCd,evWeek,Age1BLT,Total
0,0,551h0o4355,0,2,2,02/04/2022,19,Rigo Trejo,14,0,Chalk,,8458474,Red Rock Dairy,Red Rock Dairy,Holstein,405,,,0,FALSE,,,27/03/2022,386,total
0,0,551h0o4355,0,3,3,02/04/2022,23,Rigo Trejo,14,0,Chalk,,8605318,Red Rock Dairy,Red Rock Dairy,Holstein,427,,,0,FALSE,,,27/03/2022,384,total
0,0,151AN1692,0,4,4,02/04/2022,18,Rigo Trejo,14,0,Chalk,,8142398,Red Rock Dairy,Red Rock Dairy,Holstein,435,,,0,FALSE,AN,151,27/03/2022,387,total
1,0,551h0o4355,0,1,1,02/04/2022,,Rigo Trejo,14,0,Chalk,,8903369,Red Rock Dairy,Red Rock Dairy,Holstein,386,,,100,FALSE,,,27/03/2022,386,total
1,0,551h0o4355,0,2,2,02/04/2022,20,Rigo Trejo,14,0,Chalk,,8584996,Red Rock Dairy,Red Rock Dairy,Holstein,406,,,100,FALSE,,,27/03/2022,386,total
0,0,151AN1692,0,4,4,02/04/2022,20,Rigo Trejo,14,0,Chalk,,8205879,Red Rock Dairy,Red Rock Dairy,Holstein,449,,,0,FALSE,AN,151,27/03/2022,387,total
0,0,551AN1609,0,1,1,03/04/2022,,Noe Gonzalez,14,1,Chalk,,8582403,Red Rock Dairy,Red Rock Dairy,Holstein,407,666,,0,FALSE,AN,551,03/04/2022,407,total
0,0,551h0o4429,0,1,1,03/04/2022,,Noe Gonzalez,14,0,Chalk,,8582406,Red Rock Dairy,Red Rock Dairy,Holstein,407,,,0,FALSE,,,03/04/2022,407,total
0,0,551h0o4429,0,1,1,03/04/2022,,Martin Medrano,14,0,Chalk,,8397332,Red Rock Dairy,Red Rock Dairy,Holstein,398,,,0,FALSE,,,03/04/2022,398,total
1,0,551h0o4429,0,1,1,03/04/2022,,Martin Medrano,14,0,Chalk,,8907526,Red Rock Dairy,Red Rock Dairy,Holstein,385,,,100,FALSE,,,03/04/2022,385,total
1,0,551h0o4429,0,1,1,03/04/2022,,Noe Gonzalez,14,0,Chalk,,8397500,Red Rock Dairy,Red Rock Dairy,Holstein,398,,,100,FALSE,,,03/04/2022,398,total
1,1,551h0o4429,0,2,2,03/04/2022,22,Noe Gonzalez,14,0,Chalk,,8618359,Red Rock Dairy,Red Rock Dairy,Holstein,425,,,100,FALSE,,,03/04/2022,403,total
1,0,551h0o4355,0,1,1,03/04/2022,,Noe Gonzalez,15,0,Chalk,,8803098,Red Rock Dairy,Red Rock Dairy,Holstein,382,,,100,FALSE,,,03/04/2022,382,total
0,0,551h0o4429,0,1,1,03/04/2022,,Martin Medrano,14,0,Chalk,,8494253,Red Rock Dairy,Red Rock Dairy,Holstein,400,,,0,FALSE,,,03/04/2022,400,total
1,0,551h0o4429,0,1,1,03/04/2022,,Martin Medrano,14,0,Chalk,,8899178,Red Rock Dairy,Red Rock Dairy,Holstein,388,,,100,FALSE,,,03/04/2022,388,total
0,0,551h0o4429,0,1,1,03/04/2022,,Martin Medrano,14,0,Chalk,,8475510,Red Rock Dairy,Red Rock Dairy,Holstein,405,,,0,FALSE,,,03/04/2022,405,total
0,0,551h0o4429,0,2,2,03/04/2022,69,Martin Medrano,21,0,Chalk,,8319447,Red Rock Dairy,Red Rock Dairy,Holstein,458,,,0,FALSE,,,03/04/2022,389,total
1,1,151AN1692,2,3,3,14/04/2022,63,Noe Gonzalez,10,1,Ovsynch,209,4159875,Red Rock Dairy,Red Rock Dairy,Holstein,1220,,,100,FALSE,AN,151,10/04/2022,384,total
1,0,151AN1692,2,3,3,07/04/2022,35,Noe Gonzalez,10,1,Lut to Breed,149,4127319,Red Rock Dairy,Red Rock Dairy,Holstein,1202,,,100,FALSE,AN,151,03/04/2022,387,total
0,0,151AN1692,3,7,7,07/04/2022,35,Noe Gonzalez,10,1,Lut to Breed,288,3157284,Red Rock Dairy,Red Rock Dairy,Holstein,1737,,,0,FALSE,AN,151,03/04/2022,340,total
1,0,151AN1692,2,2,2,14/04/2022,70,Rigo Trejo,9,1,Ovsynch,149,4331522,Red Rock Dairy,Red Rock Dairy,Holstein,1184,,,100,FALSE,AN,151,10/04/2022,383,total
0,0,151AN1692,3,4,4,07/04/2022,35,Noe Gonzalez,10,1,Lut to Breed,184,3156901,Red Rock Dairy,Red Rock Dairy,Holstein,1661,,,0,FALSE,AN,151,03/04/2022,368,total
0,0,151AN1692,4,3,3,07/04/2022,35,Rigo Trejo,10,1,Lut to Breed,148,3154232,Red Rock Dairy,Red Rock Dairy,Holstein,2031,,,0,FALSE,AN,151,03/04/2022,357,total
0,0,151AN1692,5,2,2,07/04/2022,35,Rigo Trejo,10,1,Lut to Breed,118,3152302,Red Rock Dairy,Red Rock Dairy,Holstein,2939,,,0,FALSE,AN,151,03/04/2022,1188,total
0,0,151AN1692,3,2,2,14/04/2022,63,Noe Gonzalez,9,1,Ovsynch,144,3156377,Red Rock Dairy,Red Rock Dairy,Holstein,1519,,,0,FALSE,AN,151,10/04/2022,345,total
0,0,151AN1692,4,3,3,07/04/2022,35,Martin Medrano,10,1,Lut to Breed,177,3154823,Red Rock Dairy,Red Rock Dairy,Holstein,2161,,,0,FALSE,AN,151,03/04/2022,385,total
0,0,151AN1692,3,4,4,07/04/2022,35,Martin Medrano,10,1,Lut to Breed,185,3589035,Red Rock Dairy,Red Rock Dairy,Holstein,1712,,,0,FALSE,AN,151,03/04/2022,418,total
1,0,151AN1692,4,5,5,07/04/2022,35,Noe Gonzalez,10,1,Lut to Breed,224,3157739,Red Rock Dairy,Red Rock Dairy,Holstein,1984,,,100,FALSE,AN,151,03/04/2022,350,total
